URLLength,DomainLength,IsDomainIP,TLDLength,TLDLegitimateProb,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,CharContinuationRate,URLCharProb,IsHTTPS,HasValidSSL,HasHyphen,HasSuspiciousTLD,IsShortened,HasAtSymbol,HasDoubleSlash,label
101,43,0,3,0.38,65,0.6436,22,0.2178,0,0,0,6,0.0594,1,0,0,0.0,0.7386,0.6373,1,1,1,0,0,0,0,0
41,24,0,4,0.15,34,0.8293,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.9714,0.8095,1,0,0,0,0,0,0,0
39,30,0,2,0.4,30,0.7692,0,0.0,0,0,0,3,0.0769,1,0,0,0.0,0.9677,0.75,1,1,1,0,0,0,0,0
33,24,0,2,0.4,27,0.8182,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.9643,0.7941,1,1,0,0,0,0,0,0
83,19,0,3,0.52,38,0.4578,32,0.3855,0,0,0,5,0.0602,0,0,0,0.0,0.5352,0.4524,1,0,1,0,0,0,0,0
83,19,0,3,0.52,39,0.4699,32,0.3855,0,0,0,4,0.0482,0,0,0,0.0,0.5417,0.4643,1,1,0,0,0,0,0,0
52,17,0,2,0.15,31,0.5962,12,0.2308,0,0,0,0,0.0,2,0,0,0.0,0.7045,0.5849,1,1,0,0,0,0,0,0
67,9,0,3,0.52,35,0.5224,21,0.3134,0,0,0,4,0.0597,0,0,0,0.0,0.614,0.5147,1,0,0,0,1,0,0,0
86,38,0,3,0.15,68,0.7907,6,0.0698,1,1,0,5,0.0581,1,0,0,0.0,0.9067,0.7816,1,1,1,0,0,0,0,0
27,10,0,2,0.15,20,0.7407,1,0.037,0,0,0,1,0.037,0,0,0,0.0,0.9091,0.7143,1,0,0,0,0,0,0,0
49,19,0,2,0.4,40,0.8163,0,0.0,0,0,0,2,0.0408,1,0,0,0.0,0.9756,0.8,1,1,0,0,0,0,0,0
63,37,0,2,0.4,53,0.8413,0,0.0,0,0,0,3,0.0476,1,0,0,0.0,0.9815,0.8281,1,1,1,0,0,0,0,0
